pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z
0.003168,0.00037,0.002567,0.003486,-0.00003,0.002023,0.007277,-0.002318,-0.000151,0.007711,-0.00283,-0.000355
0.003167,0.000373,0.002566,0.003483,-0.000022,0.00203,0.007268,-0.00231,-0.000142,0.007711,-0.002823,-0.000358
0.003167,0.000379,0.002569,0.003482,-0.000016,0.002035,0.007263,-0.002303,-0.000138,0.007699,-0.002813,-0.000354
0.003165,0.000381,0.002574,0.003477,-0.000005,0.002049,0.007246,-0.002296,-0.00013,0.007683,-0.002803,-0.000345
0.003161,0.0004,0.002592,0.00347,0.000001,0.00206,0.007239,-0.002286,-0.000122,0.00767,-0.002789,-0.000334
0.003152,0.000417,0.002605,0.003467,0.000018,0.002074,0.007221,-0.002279,-0.000118,0.00766,-0.00278,-0.000328
0.003151,0.000432,0.002621,0.003467,0.000021,0.002077,0.007212,-0.002265,-0.00011,0.007652,-0.002776,-0.000326
0.00315,0.000437,0.002625,0.003463,0.00004,0.00209,0.007195,-0.002257,-0.000104,0.007642,-0.002764,-0.000316
0.00315,0.000442,0.002629,0.003461,0.000051,0.002096,0.007183,-0.002246,-0.000101,0.007629,-0.002753,-0.000304
0.003148,0.000447,0.002635,0.003458,0.000059,0.002108,0.007175,-0.002237,-0.000093,0.007619,-0.002741,-0.000296
0.003145,0.00046,0.002647,0.003452,0.000061,0.002116,0.007164,-0.002228,-0.000087,0.007608,-0.002735,-0.00029
0.003133,0.000465,0.002662,0.003451,0.000067,0.002125,0.007148,-0.00221,-0.000085,0.007597,-0.00272,-0.00029
0.00312,0.000468,0.002669,0.003449,0.00008,0.002131,0.007136,-0.002194,-0.000075,0.007583,-0.002711,-0.000282
0.003118,0.000472,0.002679,0.003448,0.000085,0.002137,0.007122,-0.002187,-0.000071,0.007563,-0.002699,-0.000279
0.003117,0.000486,0.002692,0.003449,0.000092,0.002142,0.007108,-0.002181,-0.000065,0.007549,-0.002693,-0.000269
0.003118,0.000504,0.0027,0.003442,0.000102,0.002156,0.0071,-0.00217,-0.000056,0.00754,-0.002681,-0.000263
0.003116,0.000517,0.002713,0.003432,0.000114,0.002174,0.007086,-0.002163,-0.000051,0.007526,-0.002672,-0.000262
0.003112,0.000526,0.002723,0.003428,0.000131,0.002188,0.007073,-0.002148,-0.000041,0.007522,-0.002662,-0.000253
0.003104,0.00053,0.002727,0.003418,0.000138,0.0022,0.007058,-0.002135,-0.000034,0.007516,-0.002657,-0.00025
0.003101,0.000531,0.00273,0.003418,0.000143,0.002204,0.007045,-0.002122,-0.000031,0.007504,-0.00265,-0.000246
0.0031,0.000533,0.002741,0.003419,0.000149,0.002207,0.007035,-0.002114,-0.000027,0.007497,-0.00264,-0.000241
0.003096,0.00054,0.002751,0.003416,0.000155,0.002215,0.007033,-0.002111,-0.000023,0.007486,-0.00263,-0.000226
0.003082,0.000554,0.002766,0.003415,0.000164,0.002227,0.00702,-0.0021,-0.00001,0.007475,-0.002623,-0.00022
0.003071,0.000571,0.002783,0.003415,0.000173,0.002235,0.007008,-0.002085,-0.000006,0.007466,-0.002615,-0.000217
0.003072,0.000582,0.002789,0.003416,0.000182,0.00224,0.006992,-0.002075,0.000002,0.007453,-0.002601,-0.00021
0.003073,0.000588,0.002793,0.003414,0.000191,0.002244,0.006979,-0.002071,0.000008,0.007435,-0.002587,-0.000203
0.003071,0.000596,0.002803,0.003403,0.000205,0.002262,0.00697,-0.002056,0.000015,0.007414,-0.002567,-0.000194
0.003068,0.0006,0.002808,0.003395,0.000215,0.002275,0.006961,-0.00204,0.000024,0.007395,-0.002549,-0.000188
0.003064,0.000602,0.002817,0.003387,0.000218,0.002284,0.006948,-0.002035,0.00003,0.007376,-0.002542,-0.000176
0.003067,0.000607,0.002823,0.003385,0.000224,0.002298,0.006931,-0.002027,0.000034,0.007364,-0.002535,-0.000177
0.003064,0.000622,0.002838,0.003386,0.000234,0.002304,0.006915,-0.002015,0.000039,0.00735,-0.002523,-0.000172
0.003066,0.000639,0.002852,0.003386,0.000241,0.002313,0.006909,-0.001999,0.000051,0.007337,-0.002515,-0.000157
0.003063,0.000658,0.002869,0.003382,0.000254,0.00232,0.006902,-0.001982,0.000059,0.007325,-0.002501,-0.000148
0.003051,0.000668,0.002875,0.003378,0.00026,0.002329,0.006891,-0.00197,0.000063,0.007316,-0.002491,-0.000147
0.003036,0.000671,0.002882,0.003375,0.000267,0.002341,0.006872,-0.001964,0.00007,0.007304,-0.002485,-0.000144
0.003034,0.000677,0.002892,0.003372,0.000283,0.002355,0.00685,-0.001958,0.000079,0.007288,-0.00248,-0.000131
0.003034,0.000681,0.002901,0.003365,0.000291,0.002363,0.00683,-0.001947,0.000088,0.007277,-0.00247,-0.000133
0.003032,0.000683,0.002904,0.003364,0.000297,0.002373,0.006824,-0.001932,0.000094,0.007261,-0.00245,-0.000117
0.003027,0.000685,0.002914,0.003362,0.000305,0.002378,0.006819,-0.001916,0.000101,0.007249,-0.002436,-0.000108
0.003012,0.000688,0.002925,0.003357,0.000312,0.002383,0.006815,-0.001908,0.000105,0.007239,-0.002422,-0.0001
0.003,0.000694,0.002932,0.003357,0.000323,0.002393,0.006804,-0.001903,0.000105,0.007228,-0.002411,-0.000094
0.003002,0.000709,0.002943,0.003355,0.00033,0.002402,0.006789,-0.001899,0.000116,0.007221,-0.002407,-0.000092
0.003001,0.000724,0.002953,0.003357,0.000337,0.002404,0.006777,-0.00189,0.000126,0.007216,-0.002393,-0.000086
0.003001,0.000731,0.00296,0.00336,0.000349,0.002407,0.006758,-0.001875,0.000133,0.007194,-0.002379,-0.000078
0.003001,0.000733,0.002966,0.003349,0.000363,0.002422,0.006741,-0.001859,0.000144,0.007171,-0.002362,-0.000065
0.002997,0.00074,0.002977,0.003341,0.00037,0.002432,0.006722,-0.001845,0.000158,0.007162,-0.002351,-0.000061
0.002992,0.000734,0.00299,0.003337,0.000379,0.002441,0.006721,-0.001826,0.000161,0.007154,-0.002343,-0.000058
0.002979,0.000742,0.002996,0.003338,0.00039,0.002452,0.006713,-0.001813,0.000167,0.007154,-0.002339,-0.000052
0.002977,0.000737,0.003012,0.003343,0.000397,0.002456,0.006701,-0.001804,0.000169,0.007148,-0.002332,-0.00005
0.002982,0.000737,0.00303,0.003338,0.000412,0.002466,0.006689,-0.001796,0.000181,0.007132,-0.002322,-0.000042
0.002978,0.00074,0.003045,0.003332,0.000415,0.002478,0.006675,-0.001782,0.00019,0.007117,-0.002307,-0.000029
0.002976,0.000746,0.003049,0.003323,0.000418,0.002494,0.006652,-0.001771,0.000199,0.007107,-0.002305,-0.000038
0.002973,0.000751,0.003053,0.003313,0.000428,0.002512,0.006637,-0.001761,0.000203,0.007096,-0.002294,-0.000024
0.00296,0.000755,0.003065,0.003302,0.000433,0.002531,0.006631,-0.001755,0.000211,0.007081,-0.002289,-0.000009
0.002947,0.000753,0.003078,0.003288,0.000442,0.002548,0.006626,-0.001747,0.000214,0.007073,-0.002281,-0.000015
0.002939,0.000765,0.00309,0.003277,0.000449,0.002564,0.006621,-0.001726,0.00022,0.007058,-0.002257,-0.00001
0.002928,0.000769,0.0031,0.003264,0.000455,0.002581,0.006615,-0.001713,0.000233,0.007038,-0.002242,-0.00001
0.002925,0.000779,0.003111,0.003289,0.000465,0.00256,0.006599,-0.001703,0.000234,0.007024,-0.002228,0.000002
0.002924,0.000787,0.003116,0.003284,0.000479,0.002575,0.006582,-0.001695,0.000249,0.00702,-0.002214,0.000009
0.002924,0.000805,0.003124,0.003281,0.000487,0.00258,0.006563,-0.001688,0.000253,0.007008,-0.002204,0.000016
0.002918,0.000804,0.003131,0.003277,0.0005,0.002587,0.006541,-0.001678,0.000259,0.006992,-0.002195,0.000022
0.002912,0.000811,0.003137,0.003278,0.000503,0.002591,0.006529,-0.001667,0.000271,0.006984,-0.00218,0.000028
0.002907,0.000815,0.003149,0.003278,0.000513,0.002591,0.006522,-0.001658,0.000281,0.006971,-0.002159,0.000038
0.002905,0.000816,0.003157,0.003271,0.00053,0.002606,0.006516,-0.001644,0.000285,0.006956,-0.002151,0.000043
0.002901,0.000823,0.003162,0.003262,0.000548,0.002635,0.006508,-0.001627,0.00029,0.006942,-0.002143,0.000056
0.002889,0.000835,0.003174,0.003253,0.000557,0.00264,0.006492,-0.001612,0.0003,0.006931,-0.002126,0.000059
0.002893,0.000845,0.003184,0.00325,0.000574,0.002659,0.006478,-0.001598,0.000305,0.006905,-0.002104,0.000069
0.002895,0.000856,0.003195,0.003246,0.000569,0.002659,0.006459,-0.001594,0.000324,0.006885,-0.00209,0.000078
0.002892,0.000861,0.003207,0.003246,0.000582,0.002663,0.006438,-0.001584,0.000331,0.006873,-0.002079,0.000079
0.002887,0.000864,0.003217,0.003246,0.000582,0.002668,0.006422,-0.001575,0.000336,0.006863,-0.00208,0.000081
0.002862,0.000869,0.00322,0.003242,0.000597,0.002679,0.006412,-0.001568,0.000341,0.006857,-0.002066,0.000089
0.002861,0.000872,0.003228,0.003238,0.000598,0.002691,0.006408,-0.001555,0.000354,0.006843,-0.002056,0.000097
0.002849,0.000883,0.003244,0.003231,0.000605,0.00271,0.006396,-0.001542,0.000361,0.006832,-0.002052,0.000108
0.002839,0.000894,0.003256,0.003221,0.000612,0.002724,0.006382,-0.001526,0.00037,0.006822,-0.002027,0.000122
0.002826,0.000902,0.003267,0.003213,0.000619,0.002735,0.006373,-0.001505,0.000377,0.00681,-0.002024,0.00013
0.00281,0.000908,0.003277,0.003232,0.000628,0.002736,0.006368,-0.001495,0.000381,0.006793,-0.002009,0.000135
0.002789,0.000912,0.003283,0.003227,0.000639,0.002746,0.00636,-0.001485,0.000385,0.006782,-0.001985,0.000147
0.002788,0.000915,0.003287,0.003224,0.000647,0.002757,0.006344,-0.001478,0.000395,0.006772,-0.00197,0.000153
0.002788,0.000923,0.003291,0.003216,0.000654,0.002764,0.006323,-0.001469,0.000406,0.006758,-0.001966,0.00015
0.002786,0.000928,0.003303,0.003202,0.000659,0.002784,0.006307,-0.001461,0.000417,0.006735,-0.001949,0.000164
0.002784,0.000937,0.003318,0.003219,0.000663,0.002788,0.006291,-0.001449,0.00043,0.006727,-0.001942,0.000166
0.002782,0.000945,0.003329,0.003211,0.000667,0.002794,0.006274,-0.001433,0.00044,0.006716,-0.001935,0.000177
0.002774,0.00095,0.003336,0.003205,0.00068,0.002801,0.006256,-0.001414,0.000448,0.00671,-0.001925,0.00018
