pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z
0.00451,0.063378,-0.014127,-0.00153,0.066864,-0.013894,0.088023,0.067823,-0.030108,0.09463,0.067763,-0.030439
0.004693,0.063302,-0.013925,-0.001293,0.066688,-0.013805,0.088023,0.067823,-0.030108,0.094561,0.067797,-0.030431
0.004857,0.063252,-0.013905,-0.00109,0.066459,-0.013732,0.087954,0.06782,-0.030024,0.094521,0.067795,-0.030383
0.005041,0.06311,-0.013815,-0.000958,0.066421,-0.013667,0.087953,0.067819,-0.029999,0.094573,0.067761,-0.030378
0.005248,0.062954,-0.013786,-0.000784,0.066425,-0.013544,0.087889,0.067761,-0.029954,0.094523,0.067761,-0.030384
0.005393,0.062852,-0.013645,-0.000648,0.066348,-0.013312,0.087834,0.067703,-0.029963,0.094523,0.067761,-0.030384
0.005566,0.062761,-0.013553,-0.000495,0.066236,-0.01329,0.087853,0.067703,-0.029961,0.094465,0.067826,-0.030161
0.005794,0.062686,-0.01345,-0.00032,0.06616,-0.013143,0.087757,0.067699,-0.029811,0.094456,0.06786,-0.030163
0.005919,0.062618,-0.013334,-0.000124,0.066037,-0.013065,0.087755,0.067698,-0.029773,0.094456,0.06786,-0.030163
0.006178,0.062478,-0.013306,0.00009,0.065926,-0.01303,0.087755,0.067698,-0.02976,0.094373,0.067893,-0.030106
0.006241,0.062365,-0.013319,0.000379,0.065776,-0.012872,0.087755,0.067698,-0.02976,0.094372,0.067892,-0.030077
0.006404,0.062246,-0.013253,0.000486,0.0657,-0.012877,0.087727,0.067697,-0.029681,0.094371,0.067892,-0.030062
0.006569,0.06218,-0.013124,0.000635,0.065664,-0.012783,0.087725,0.067696,-0.029618,0.094274,0.067891,-0.030023
0.006833,0.06206,-0.012974,0.000768,0.065595,-0.012729,0.087638,0.067692,-0.029413,0.094175,0.067886,-0.029963
0.007069,0.061979,-0.012848,0.001015,0.06548,-0.012571,0.087618,0.067693,-0.029429,0.094015,0.067866,-0.029892
0.00721,0.061756,-0.012745,0.001141,0.065476,-0.012533,0.08758,0.067691,-0.029314,0.094015,0.067866,-0.029892
0.007392,0.061633,-0.01268,0.001314,0.065439,-0.012496,0.087535,0.067688,-0.02922,0.094032,0.067867,-0.029864
0.007535,0.061662,-0.012667,0.001455,0.065183,-0.01238,0.087531,0.067688,-0.029146,0.093955,0.067863,-0.029763
0.007631,0.061602,-0.012633,0.001645,0.06515,-0.012335,0.087504,0.067686,-0.029093,0.093932,0.067863,-0.029765
0.00776,0.06153,-0.012503,0.001919,0.065037,-0.012225,0.087466,0.067686,-0.02907,0.093909,0.067863,-0.029619
0.008104,0.061421,-0.012394,0.002049,0.065003,-0.012162,0.087407,0.067683,-0.028903,0.093897,0.067863,-0.02962
